# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 269:         5.520       52.458      -3.70  LELYSTAD
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  380,20160106,   64,   48,   78
  380,20160107,   60,   41,   81
  380,20160108,   43,   24,   79
  380,20160109,   58,   24,   81
  380,20160110,   68,   41,   91
  380,20160111,   55,   32,   78
  380,20160112,   56,   44,   75
  380,20160113,   43,   16,   56
  380,20160114,   29,   13,   49
  380,20160115,   17,    6,   22
  380,20160116,   18,   -1,   50
  380,20160117,  -12,  -43,    9
  380,20160118,  -36,  -54,   -4
  380,20160119,  -38,  -80,    4
  380,20160120,   -5,  -28,   10
  380,20160121,    4,  -23,   43
  380,20160122,   17,  -22,   45
  380,20160123,   59,   40,   78
  380,20160124,   68,   36,   85
  380,20160125,  108,   73,  162
  380,20160126,   96,   86,  108
  380,20160127,  100,   85,  110
  380,20160128,   57,   15,   97
  380,20160129,   68,   20,   91
  380,20160130,   62,   25,   89
  380,20160131,   70,   34,  116
  380,20160201,  108,   99,  116
  380,20160202,   80,   50,  109
  380,20160203,   45,   30,   69
  380,20160204,   47,   23,   79
  380,20160205,   82,   22,  101
  380,20160206,   95,   74,  111
  380,20160207,   83,   60,  112
  380,20160208,   82,   66,  101
  380,20160209,   55,   22,  107
